PCA1,PCA2,against_bug
-54975.797450426995,1334.957433198267,1.0
4837.918180546672,-2143.316734975364,0.5
4837.778580123608,-2150.2962021514063,2.0
4837.905062672692,-2144.148983443089,0.5
4837.780425551031,-2150.2851388698587,0.5
-54995.50565273104,50.820399523895745,0.5
-454928.924998119,7459.69777899966,2.0
194916.37090219746,-7616.661698861217,1.0
-55015.1303539597,-1229.6597124521115,1.0
-454968.1863821233,4898.424550579558,1.0
4837.8603649434,-2146.6298930361463,2.0
584890.1402928566,-12315.347337347757,1.0
195033.98787360938,60.335618164750485,0.5
4837.818634413404,-2148.59730838307,0.5
-255011.28779824104,553.4711567584878,1.0
4837.892143606533,-2144.8312686206973,0.5
195190.89030252854,10298.991852663037,0.5
195190.9102070272,10300.081313560719,1.0
195033.99760717244,60.686073556513534,1.0
-55034.74509097092,-2509.677261090429,1.0
-55034.75324128552,-2509.868078315155,1.0
-55015.07679694045,-1227.3529717779293,0.5
-54995.4174179735,54.57518795376633,0.5
4818.263086561474,-3424.975613380218,1.0
-55015.16407892512,-1231.3836810176306,2.0
4837.7935652748465,-2149.7046855853087,0.5
4837.899249938228,-2144.749160011773,1.0
195190.94629260048,10302.012464597497,0.25
4837.91537352524,-2143.527005132296,0.5
4837.909578506008,-2143.853158211195,2.0
4837.838113721586,-2147.4738159668964,2.0
-55015.12571643556,-1230.1329085506445,0.5
4837.894960270052,-2144.4127519359154,2.0
195347.94447827552,20544.6892225532,1.0
-255030.94369734515,-728.7698507591132,0.5
-55015.21067981439,-1233.953373068665,0.5
-54995.43812892733,53.861863893793725,1.0
4818.264580157084,-3425.421149716758,0.5
195347.77271991214,20538.19922257353,1.0
-55015.128217864236,-1229.488448349324,2.0
-54975.91118045276,1329.3669107128383,1.0
195347.782145441,20537.90971217118,0.25
-255030.94155535634,-728.4703652714952,0.5
-55015.06832247046,-1227.3524262604508,0.5
-55015.08302055508,-1227.4675933658414,1.0
4818.325852269139,-3422.6837624222567,1.0
-55015.10076430089,-1228.5049327036963,1.0
-55015.13557677909,-1229.8034557592707,1.0
-55015.10266027907,-1228.1066247902422,0.25
4837.8259698241445,-2147.589607227153,1.0
-55034.81063214352,-2512.9751302797877,1.0
-55015.18397868444,-1232.637362477785,0.5
4837.862986055114,-2145.7523214325706,0.5
4837.829014716857,-2147.8010165431174,1.0
584909.7567638225,-11035.18657798435,0.5
-454968.14854630316,4899.992368237414,1.0
195033.98374224183,59.83399736972082,1.0
-454968.21262674266,4897.095116466253,0.5
4837.829715298574,-2147.861886507501,1.0
-255011.27955069728,553.6213895465193,0.5
195190.88210073113,10299.155052838572,2.0
4818.316220536654,-3422.6399392903,1.0
4837.863168064789,-2145.7156980180944,1.0
195014.4547615916,-1216.7567426645585,0.5
-55015.1599021569,-1231.4217141035865,1.0
-55015.14828723381,-1230.6099873919839,1.0
-55015.15554517061,-1231.4206815137059,0.5
195347.70468740526,20535.339810702142,2.0
194975.14884422842,-3779.8889373343113,1.0
-55015.175975141115,-1232.3504875506146,1.0
-55015.11106310735,-1228.5995755908962,2.0
4837.825416026668,-2148.045062539732,2.0
195347.95562002368,20545.782259122952,0.25
4837.794257838184,-2149.6735940131957,0.5
4837.83774508101,-2147.7543927232305,0.5
-55015.11680746927,-1229.5262760407713,2.0
4837.89930711806,-2144.613991346905,1.0
195347.84611436722,20540.860374501044,1.0
-55015.129499202885,-1229.534170228444,1.0
-55015.06957678248,-1226.9705191533533,0.5
-55015.078032980964,-1227.4932044430232,1.0
-55015.15052472114,-1231.0801798878567,1.0
194955.46849607443,-5063.10974917558,0.5
-55015.16742170447,-1231.971154461151,0.5
-55015.0843788131,-1227.6700759787439,2.0
4837.835801399336,-2147.1421012333544,2.0
194936.01139344746,-6335.0660057417645,0.5
4818.254393518838,-3426.052256729734,4.0
-55015.159618457044,-1231.2083745074176,1.0
-55015.18383779825,-1232.6313020287364,2.0
194935.98337235276,-6336.49589036587,1.0
195347.83942942618,20541.025452714093,0.5
194955.48510769673,-5062.083911067285,1.0
4837.8305428420435,-2147.516221756661,1.0
194955.54021601274,-5059.184749034097,1.0
4837.90744872071,-2143.7967441880833,0.25
195034.07052758778,64.0667080022362,1.0
-55015.11769414481,-1228.7575330591876,1.0
-55015.192097658386,-1233.0768975111225,1.0
-55034.73084439054,-2508.7062055527917,1.0
4837.800750732052,-2149.171484212256,0.5
-254991.6245345707,1835.7720442065167,1.0
-55015.13243134463,-1230.352571585006,2.0
194955.47152154264,-5062.944616920888,1.0
4818.23330178768,-3427.272471155402,1.0
-55015.18235163268,-1232.4514793519866,1.0
4837.843014642866,-2147.054806230897,1.0
194955.60533444866,-5056.079859659882,2.0
