LLE1,LLE2,price_range
0.0019513094427301533,0.01515495237032591,0
-0.0028702085728286226,-0.01708693915889499,2
0.0023922412943868103,0.014829246346964187,1
0.009002286779467945,-0.025471919261441704,3
0.004224119259176072,-0.01513855088376124,1
0.0057415224207795846,0.005510258812993779,1
-0.0006799991526749952,0.0012669052890932507,2
0.001776953767449574,0.016427135568214967,0
-0.011696412986544757,-0.022768460101026972,3
-0.0008398642856255319,0.0031799913946292226,1
0.005769598099101527,0.018572899320875604,0
0.001749307951557744,0.015203943193489229,0
0.01975455537520808,-0.019169526811337812,2
-0.0419762690513018,-0.023516576742408358,3
-0.0026343213076078596,-0.0065804514922631245,3
-0.003524448416047213,-9.777117906429308e-05,2
-0.005818802532348293,-0.014392693147111696,3
0.002050122676213913,0.030093569913413977,3
0.0024555444093054307,0.006393960484432412,1
0.006872353313573938,0.008467518738907458,0
0.002733189976093402,0.018913413363617872,0
0.004721348040694147,0.0028766355636334687,2
0.0021341761234612107,0.026639189165291524,1
0.003360874089159675,-0.010406467848890587,2
0.0031142724077295476,0.01963257660596446,0
0.00024738191259272147,0.005227293373296408,1
-0.0003274827727828862,-0.027980136973068198,3
-0.011277495311537976,-0.01789621546519967,2
-0.0017042462088901838,0.0025574153586415647,2
0.006642303517470052,0.017084394656730312,0
0.0027139092418616804,0.02176901022643721,0
0.004369793885153332,0.01799522872224769,0
-0.004878664509361171,-0.011079012658586332,3
0.0038430335902172345,0.021507393196257194,0
0.00022629307954442676,0.003788847749204568,1
0.00435325441132625,-0.0018353635844353944,1
-0.0037103933748575423,-0.019056998438622023,2
0.008130536157664006,0.016012258590180312,0
0.010308894720711373,-0.0016079948098220733,3
0.0026205612524898792,0.01198763996020187,0
0.0005352155115400268,-0.006416243693757884,2
0.006234162493696729,0.002492643503091437,3
-0.005413196166596753,-0.013367647819611266,2
0.0073886753795073135,0.01177576287140156,0
-0.0027935053819464536,-0.024135453284572683,2
0.0007440803438179337,-0.011556802086356163,3
0.010773964278880013,-0.01607865116832372,2
-0.0002760666425834839,-0.012939540451925803,1
0.005996491102604934,-0.006763356143595471,3
0.006889171638435009,0.008883752895527916,1
-0.04197631332797046,-0.023507273734739754,3
0.0016290617307405714,0.009421707897664238,1
0.004293682834703981,0.01999547822918868,0
0.002981808312026863,0.020306418090829243,0
0.0014584641914139845,0.018071092874010753,1
0.002194226297381682,0.015127275060988566,0
-0.0009031089634052656,0.002597518030132888,1
0.009201301397695804,0.001556917267617463,3
0.0044695383192661356,0.01599957612798573,0
0.005213371446746462,0.017031951475176756,0
0.01516983033157046,-0.0012277303940903365,1
-0.009167639617514179,-0.024617504449647568,3
-0.00585130233529956,-0.022782600155996095,3
0.0029650393214726172,0.009083226543004768,1
0.0004948044418202748,0.02341913086000128,0
8.524157301368237e-05,0.008493616899745461,0
-0.02067643346332138,-0.030255594203554302,3
0.0020739379397373982,-0.00974537139050253,3
0.0027158299357454363,0.005362506489569476,1
0.007962736109875468,-0.015323836662854052,2
0.0015327431373358491,0.014467705174460025,2
0.005815742916415871,-0.030045025796768376,2
